symbol,price,likes,market_cap,volume_cap,date
SHIB,1.545e-05,120758,7657971016,3310551546,2021-05-17 01:33:41.851198
SNM,0.40369,3693,176655300,1319572,2021-05-17 01:33:41.851198
SLP,0.211317,10411,88137666,94710024,2021-05-17 01:33:41.851198
BAKE,6.66,27952,993215892,635679182,2021-05-17 01:33:41.851198
SHIB,1.545e-05,120758,7657971016,3310551546,2021-05-17 01:34:23.010546
SNM,0.40369,3693,176655300,1319572,2021-05-17 01:34:23.010546
SLP,0.211317,10411,88137666,94710024,2021-05-17 01:34:23.010546
BAKE,6.66,27952,993215892,635679182,2021-05-17 01:34:23.010546
SHIB,1.545e-05,120760,7657971016,3310551546,2021-05-17 01:35:13.337000
SNM,0.40369,3693,176655300,1319572,2021-05-17 01:35:13.337000
SLP,0.211317,10411,88137666,94710024,2021-05-17 01:35:13.337000
BAKE,6.67,27951,993215892,636957958,2021-05-17 01:35:13.337000
SHIB,1.557e-05,120770,7657971016,3337777469,2021-05-17 01:36:53.484343
SNM,0.40369,3692,176655300,1319572,2021-05-17 01:36:53.484343
SLP,0.21092,10411,88137666,94660447,2021-05-17 01:36:53.484343
BAKE,6.67,27952,993215892,636957958,2021-05-17 01:36:53.484343
